,OR,p
STRESS,1.3504482323758755,7.121282460427876e-08
MHEALTH,1.754683787177993,2.0581448668148814e-23
WORKLIFE,0.9629030814305776,0.3950910567534808
VALUED,0.7569940043481721,1.1442584835448638e-10
AGEGRP,0.7560045722645388,1.5464785388848197e-06
EXP,1.0524739080849783,0.3745233632687154
